"REF_DATE","GEO","DGUID","Labour force characteristics","Gender","Age group","Statistics","Data type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020-12","Quebec","2021A000224","Unemployment","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063759","6.6.1.1.1.1","303.8","","","","1"
"2020-12","Quebec","2021A000224","Unemployment rate","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Percent","239","units","0","v2063760","6.7.1.1.1.1","6.8","","","","1"
"2020-12","Quebec","2021A000224","Participation rate","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Percent","239","units","0","v2063761","6.8.1.1.1.1","63.7","","","","1"
"2020-12","Quebec","2021A000224","Employment rate","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Percent","239","units","0","v2063762","6.9.1.1.1.1","59.4","","","","1"
"2020-12","Ontario","2021A000235","Population","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063943","7.1.1.1.1.1","12304.6","","","","1"
"2020-12","Ontario","2021A000235","Labour force","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063944","7.2.1.1.1.1","8090.2","","","","1"
"2020-12","Ontario","2021A000235","Employment","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063945","7.3.1.1.1.1","7288.2","","","","1"
"2020-12","Ontario","2021A000235","Full-time employment","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063946","7.4.1.1.1.1","5999.6","","","","1"
"2020-12","Ontario","2021A000235","Part-time employment","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063947","7.5.1.1.1.1","1288.6","","","","1"
"2020-12","Ontario","2021A000235","Unemployment","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063948","7.6.1.1.1.1","801.9","","","","1"
"2020-12","Ontario","2021A000235","Unemployment rate","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Percent","239","units","0","v2063949","7.7.1.1.1.1","9.9","","","","1"
"2020-12","Ontario","2021A000235","Participation rate","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Percent","239","units","0","v2063950","7.8.1.1.1.1","65.7","","","","1"
"2020-12","Ontario","2021A000235","Employment rate","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Percent","239","units","0","v2063951","7.9.1.1.1.1","59.2","","","","1"
"2020-12","Manitoba","2021A000246","Population","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064132","8.1.1.1.1.1","1056.6","","","","1"
"2020-12","Manitoba","2021A000246","Labour force","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064133","8.2.1.1.1.1","690.0","","","","1"
"2020-12","Manitoba","2021A000246","Employment","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064134","8.3.1.1.1.1","632.1","","","","1"
"2020-12","Manitoba","2021A000246","Full-time employment","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064135","8.4.1.1.1.1","519.7","","","","1"
"2020-12","Manitoba","2021A000246","Part-time employment","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064136","8.5.1.1.1.1","112.4","","","","1"
"2020-12","Manitoba","2021A000246","Unemployment","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064137","8.6.1.1.1.1","57.9","","","","1"
"2020-12","Manitoba","2021A000246","Unemployment rate","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Percent","239","units","0","v2064138","8.7.1.1.1.1","8.4","","","","1"
"2020-12","Manitoba","2021A000246","Participation rate","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Percent","239","units","0","v2064139","8.8.1.1.1.1","65.3","","","","1"
"2020-12","Manitoba","2021A000246","Employment rate","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Percent","239","units","0","v2064140","8.9.1.1.1.1","59.8","","","","1"
"2020-12","Saskatchewan","2021A000247","Population","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064321","9.1.1.1.1.1","884.6","","","","1"
"2020-12","Saskatchewan","2021A000247","Labour force","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064322","9.2.1.1.1.1","592.8","","","","1"
"2020-12","Saskatchewan","2021A000247","Employment","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064323","9.3.1.1.1.1","548.7","","","","1"
"2020-12","Saskatchewan","2021A000247","Full-time employment","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064324","9.4.1.1.1.1","448.0","","","","1"
"2020-12","Saskatchewan","2021A000247","Part-time employment","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064325","9.5.1.1.1.1","100.6","","","","1"
"2020-12","Saskatchewan","2021A000247","Unemployment","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064326","9.6.1.1.1.1","44.2","","","","1"
"2020-12","Saskatchewan","2021A000247","Unemployment rate","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Percent","239","units","0","v2064327","9.7.1.1.1.1","7.5","","","","1"
"2020-12","Saskatchewan","2021A000247","Participation rate","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Percent","239","units","0","v2064328","9.8.1.1.1.1","67.0","","","","1"
"2020-12","Saskatchewan","2021A000247","Employment rate","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Percent","239","units","0","v2064329","9.9.1.1.1.1","62.0","","","","1"
"2020-12","Alberta","2021A000248","Population","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064510","10.1.1.1.1.1","3513.6","","","","1"
"2020-12","Alberta","2021A000248","Labour force","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064511","10.2.1.1.1.1","2433.5","","","","1"
"2020-12","Alberta","2021A000248","Employment","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064512","10.3.1.1.1.1","2172.2","","","","1"
"2020-12","Alberta","2021A000248","Full-time employment","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064513","10.4.1.1.1.1","1772.2","","","","1"
"2020-12","Alberta","2021A000248","Part-time employment","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064514","10.5.1.1.1.1","400.0","","","","1"
"2020-12","Alberta","2021A000248","Unemployment","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064515","10.6.1.1.1.1","261.3","","","","1"
"2020-12","Alberta","2021A000248","Unemployment rate","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Percent","239","units","0","v2064516","10.7.1.1.1.1","10.7","","","","1"
"2020-12","Alberta","2021A000248","Participation rate","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Percent","239","units","0","v2064517","10.8.1.1.1.1","69.3","","","","1"
"2020-12","Alberta","2021A000248","Employment rate","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Percent","239","units","0","v2064518","10.9.1.1.1.1","61.8","","","","1"
"2020-12","British Columbia","2021A000259","Population","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064699","11.1.1.1.1.1","4330.7","","","","1"
"2020-12","British Columbia","2021A000259","Labour force","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064700","11.2.1.1.1.1","2852.2","","","","1"
"2020-12","British Columbia","2021A000259","Employment","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064701","11.3.1.1.1.1","2635.1","","","","1"
"2020-12","British Columbia","2021A000259","Full-time employment","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064702","11.4.1.1.1.1","2083.3","","","","1"
"2020-12","British Columbia","2021A000259","Part-time employment","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064703","11.5.1.1.1.1","551.8","","","","1"
"2020-12","British Columbia","2021A000259","Unemployment","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064704","11.6.1.1.1.1","217.1","","","","1"
"2020-12","British Columbia","2021A000259","Unemployment rate","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Percent","239","units","0","v2064705","11.7.1.1.1.1","7.6","","","","1"
"2020-12","British Columbia","2021A000259","Participation rate","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Percent","239","units","0","v2064706","11.8.1.1.1.1","65.9","","","","1"
"2020-12","British Columbia","2021A000259","Employment rate","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Percent","239","units","0","v2064707","11.9.1.1.1.1","60.8","","","","1"


